Albertland Gazette,Auckland
Auckland Chronicle and New Zealand Colonist,Auckland
Auckland Star,Auckland
Auckland Times,Auckland
Daily Southern Cross,Auckland
Kaipara and Waitemata Echo,Auckland
New Zealand Herald,Auckland
New Zealand Herald and Auckland Gazette,Auckland
New Zealander,Auckland
Observer,Auckland
Pukekohe & Waiuku Times,Auckland
"Rodney and Otamatea Times, Waitemata and Kaipara Gazette",Auckland
Bay of Plenty Beacon,Bay of Plenty
Bay Of Plenty Times,Bay of Plenty
Hot Lakes Chronicle,Bay of Plenty
Te Puke Times,Bay of Plenty
Akaroa Mail and Banks Peninsula Advertiser,Canterbury
Ashburton Guardian,Canterbury
Ashburton Herald,Canterbury
Ellesmere Guardian,Canterbury
Globe,Canterbury
Lyttelton Times,Canterbury
North Canterbury Gazette,Canterbury
Oxford Observer,Canterbury
Press,Canterbury
South Canterbury Times,Canterbury
Star,Canterbury
Sun,Canterbury
Temuka Leader,Canterbury
Timaru Herald,Canterbury
Waimate Daily Advertiser,Canterbury
Gisborne Herald,Gisborne
Matariki,Gisborne
Poverty Bay Herald,Gisborne
Takitimu,Gisborne
Bush Advocate,Hawke's Bay
Daily Telegraph,Hawke's Bay
Hastings Standard,Hawke's Bay
Hawke's Bay Herald,Hawke's Bay
Hawke's Bay Times,Hawke's Bay
Hawke's Bay Weekly Times,Hawke's Bay
Feilding Star,Manawatu-Wanganui
Horowhenua Chronicle,Manawatu-Wanganui
Manawatu Herald,Manawatu-Wanganui
Manawatu Standard,Manawatu-Wanganui
Manawatu Times,Manawatu-Wanganui
Rangitikei Advocate and Manawatu Argus,Manawatu-Wanganui
Taihape Daily Times,Manawatu-Wanganui
Wanganui Chronicle,Manawatu-Wanganui
Wanganui Herald,Manawatu-Wanganui
Woodville Examiner,Manawatu-Wanganui
Marlborough Express,Marlborough
Pelorus Guardian and Miners' Advocate.,Marlborough
Anglo-Maori Warder,National
Aotearoa : he Nupepa ma nga Tangata Maori,National
Haeata,National
Hiiringa i te Whitu,National
"Hokioi o Nui-Tireni, e rere atuna",National
Huia Tangata Kotahi,National
Jubilee : Te Tiupiri,National
"Kahiti Tuturu mo Aotearoa, me te Waipounamu",National
Korimako,National
Maori Messenger : Te Karere Maori,National
Maoriland Worker,National
NZ Truth,National
Pihoihoi Mokemoke i Runga i te Tuanui,National
Waka Maori,National
Wananga,National
Whetu o te Tau,National
Colonist,Nelson
Golden Bay Argus,Nelson
Motueka Star,Nelson
Nelson Evening Mail,Nelson
Nelson Examiner and New Zealand Chronicle,Nelson
New Zealand Advertiser and Bay of Islands Gazette,Northland
Northern Advocate,Northland
Alexandra Herald and Central Otago Gazette,Otago
Bruce Herald,Otago
Clutha Leader,Otago
Cromwell Argus,Otago
Dunstan Times,Otago
Evening Star,Otago
Lake County Mail,Otago
Lake County Press,Otago
Lake Wakatip Mail,Otago
Mataura Ensign,Otago
Mount Ida Chronicle,Otago
Mt Benger Mail,Otago
North Otago Times,Otago
Oamaru Mail,Otago
Otago Daily Times,Otago
Otago Witness,Otago
Otautau Standard and Wallace County Chronicle,Otago
Southern Cross,Otago
Southland Times,Otago
Tuapeka Times,Otago
Western Star,Otago
Samoa Times and South Sea Advertiser,Samoa
Samoa Times and South Sea Gazette,Samoa
Samoa Weekly Herald,Samoa
Samoanische Zeitung,Samoa
Hawera & Normanby Star,Taranaki
Opunake Times,Taranaki
Patea Mail,Taranaki
Stratford Evening Post,Taranaki
Taranaki Daily News,Taranaki
Taranaki Herald,Taranaki
King Country Chronicle,Waikato
Matamata Record,Waikato
Ohinemuri Gazette,Waikato
Paki o Matariki,Waikato
Te Aroha News,Waikato
Thames Advertiser,Waikato
Thames Guardian and Mining Record,Waikato
Thames Star,Waikato
Waihi Daily Telegraph,Waikato
Waikato Argus,Waikato
Waikato Independent,Waikato
Waikato Times,Waikato
Dominion,Wellington
Evening Post,Wellington
New Zealand Free Lance,Wellington
Hutt News,Wellington
Hutt Valley Independent,Wellington
Karere o Poneke,Wellington
Mareikura,Wellington
Matuhi,Wellington
New Zealand Colonist and Port Nicholson Advertiser,Wellington
New Zealand Gazette and Wellington Spectator,Wellington
New Zealand Mail,Wellington
New Zealand Spectator and Cook's Strait Guardian,Wellington
New Zealand Times,Wellington
Otaki Mail,Wellington
Puke ki Hikurangi,Wellington
Upper Hutt Weekly Review,Wellington
Victoria Times,Wellington
Wairarapa Age,Wellington
Wairarapa Daily Times,Wellington
Wairarapa Standard,Wellington
Wellington Independent,Wellington
Charleston Argus,West Coast
Grey River Argus,West Coast
Greymouth Evening Star,West Coast
Inangahua Times,West Coast
Kumara Times,West Coast
Lyell Times and Central Buller Gazette,West Coast
West Coast Times,West Coast
Westport Times,West Coast
